ContractId,CustomerId,ComplaintId,ContractDescription,ContractAmount,CurrencyCode,ContractEffectiveDate,ContractEndDate,ContractTerm,SLASchemeId,CustomerSegment,,,
49-8272859,1188917,73144,amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales,650,INR,2020-06-26,2021-11-30,17 Months,#91c93e,Empty,,,
71-2791396,1491485,953726,in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae,950,INR,2023-09-07,2019-12-03,46 Months,#362936,Empty,,,
94-3600466,1381317,2349987,rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin,950,INR,2022-03-16,2022-06-27,3 Months,#dc02d4,Empty,,,
44-7219950,1246402,1067722,faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel,950,INR,2023-08-14,2021-11-26,21 Months,#69bec9,Empty,,,
04-1430602,1641291,2264069,dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est,950,INR,2023-10-01,2022-01-08,21 Months,#57e72f,Empty,,,
96-7298674,1716706,2446404,rutrum ac lobortis vel dapibus at diam nam tristique tortor eu pede,350,INR,2022-10-15,2021-11-06,11 Months,#ac0e16,Empty,,,
91-9944921,1395153,2199687,eleifend luctus ultricies eu nibh quisque id justo sit amet,1500,INR,2020-12-20,2021-04-17,4 Months,#7a5552,Empty,,,
69-7612932,1697859,339038,aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum,950,INR,2020-08-11,2019-12-12,8 Months,#8e7464,Empty,,,
52-2646166,1193227,1471125,molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur,650,INR,2021-03-05,2021-09-12,6 Months,#f34f3f,Empty,,,
69-6606404,1850736,794050,pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat,1500,INR,2022-11-24,2020-01-14,35 Months,#6a5fe7,Empty,,,
68-5367018,1771270,1831871,orci mauris lacinia sapien quis libero nullam sit amet turpis,350,INR,2021-03-04,2022-02-05,11 Months,#d126b6,Empty,,,
14-9360688,1840431,192496,convallis tortor risus dapibus augue vel accumsan tellus nisi eu,1500,INR,2022-09-08,2019-07-26,38 Months,#e8b492,Empty,,,
46-6181179,1502325,1970545,volutpat dui maecenas tristique est et tempus semper est quam pharetra,1500,INR,2023-09-29,2022-08-14,14 Months,#06ae9b,Empty,,,
52-9256659,1151072,1198024,ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,350,INR,2023-04-05,2022-03-20,13 Months,#c3b539,Empty,,,
10-2236856,1875288,389461,luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque,950,INR,2021-08-11,2021-09-16,1 Months,#b4e0c4,Empty,,,
14-7740971,1361963,1576186,justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea,950,INR,2020-10-08,2019-08-18,14 Months,#d93ace,Empty,,,
49-7608623,1599723,2161728,ut nulla sed accumsan felis ut at dolor quis odio consequat varius,950,INR,2023-03-14,2019-08-17,44 Months,#15de50,Empty,,,
39-1789141,1438784,1135236,donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis,1500,INR,2022-08-06,2022-10-13,2 Months,#e48e17,Empty,,,
75-2886923,1274604,1841482,curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros,1500,INR,2020-08-25,2019-07-28,13 Months,#2f288d,Empty,,,
68-8318184,1548860,2423410,id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac,650,INR,2020-06-16,2022-07-08,25 Months,#3ea0c1,Empty,,,
15-7129413,1570047,1874755,sapien sapien non mi integer ac neque duis bibendum morbi,350,INR,2022-09-23,2019-10-03,36 Months,#cac58e,Empty,,,
20-6914193,1825757,1516722,pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra,1500,INR,2020-04-28,2021-12-26,20 Months,#37bc7a,Empty,,,
47-8302391,1304525,390390,id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede,950,INR,2022-01-02,2021-02-27,10 Months,#80e6fb,Empty,,,
04-6253575,1750074,2327502,pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta,950,INR,2020-06-08,2020-05-09,1 Months,#0d8b05,Empty,,,
14-8079041,1134752,957559,elementum nullam varius nulla facilisi cras non velit nec nisi,650,INR,2022-01-10,2022-10-07,9 Months,#2c1600,Empty,,,
38-9010631,1505713,598206,amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi,350,INR,2023-07-18,2021-12-28,19 Months,#f0acf1,Empty,,,
33-7200726,1724003,1904547,augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed,1500,INR,2020-07-13,2020-07-12,0 Months,#fa920e,Empty,,,
04-5483388,1388519,223071,leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet,1500,INR,2021-08-13,2020-05-26,15 Months,#8c24ad,Empty,,,
19-7300275,1724882,1992309,in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque,350,INR,2021-02-02,2020-04-01,10 Months,#dc2db2,Empty,,,
21-9346146,1463336,927254,sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi,950,INR,2021-02-22,2020-12-18,2 Months,#f2a4c4,Empty,,,
90-5366558,1804919,486251,nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque,650,INR,2020-05-10,2021-02-27,10 Months,#a5ef75,Empty,,,
31-0752269,1591747,743072,amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum,650,INR,2020-12-16,2021-02-04,2 Months,#efb2a8,Empty,,,
98-9942795,1743709,1866334,morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus,350,INR,2021-02-06,2022-06-01,16 Months,#7b874f,Empty,,,
83-1131980,1472593,2012532,id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit,1500,INR,2023-08-13,2020-10-10,35 Months,#a30c5c,Empty,,,
78-1831162,1641977,788851,augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis,950,INR,2020-09-24,2020-11-29,2 Months,#2d7462,Empty,,,
02-9376425,1649753,2095531,nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur,950,INR,2023-10-12,2021-12-05,23 Months,#eb744c,Empty,,,
48-5424864,1149571,1138195,elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in,650,INR,2021-01-20,2021-02-12,1 Months,#7b3431,Empty,,,
79-1164621,1691240,1790661,sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam,1500,INR,2020-05-20,2021-07-08,14 Months,#946a2a,Empty,,,
11-1093792,1838961,602465,velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque,950,INR,2023-06-17,2020-05-22,37 Months,#7d059e,Empty,,,
77-0898234,1403464,2340027,lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in,950,INR,2022-05-04,2021-09-09,8 Months,#fdc6af,Empty,,,
73-5281087,1646022,18253,cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing,950,INR,2021-08-11,2020-07-04,13 Months,#1d849b,Empty,,,
92-3274348,1106801,1896727,fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus,950,INR,2020-07-08,2020-04-17,3 Months,#da1e40,Empty,,,
93-1613842,1616296,1480692,leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam,350,INR,2020-08-14,2021-04-03,8 Months,#4f7b77,Empty,,,
94-4650489,1238277,2440350,dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed,950,INR,2023-01-08,2021-09-03,16 Months,#556aa6,Empty,,,
43-0062021,1175457,1474887,pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra,1500,INR,2021-02-19,2019-09-16,17 Months,#4b13a4,Empty,,,
75-2278970,1576577,2437313,id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus,1500,INR,2021-07-22,2021-02-05,6 Months,#58e119,Empty,,,
42-8378793,1586725,2389782,ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet,950,INR,2020-04-20,2021-06-25,14 Months,#b52181,Empty,,,
13-1790108,1660853,2439594,sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse,1500,INR,2022-01-24,2021-05-10,9 Months,#1241b2,Empty,,,
51-1613332,1132472,404246,nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec,950,INR,2023-04-05,2019-06-23,46 Months,#40512d,Empty,,,
48-6215227,1368120,2417763,in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla,650,INR,2023-07-17,2021-08-10,24 Months,#fea602,Empty,,,
58-8187419,1403185,1156178,vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus,350,INR,2023-09-18,2020-10-09,36 Months,#6f881e,Empty,,,
55-4729742,1601892,1410684,sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl,350,INR,2021-12-07,2021-02-02,10 Months,#01809e,Empty,,,
36-5686854,1220273,456041,sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor,950,INR,2022-04-18,2019-12-15,29 Months,#3842de,Empty,,,
19-0343893,1713632,2371691,duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi,950,INR,2022-05-29,2020-08-26,21 Months,#8d8409,Empty,,,
08-7592443,1416025,1987818,lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor,1500,INR,2020-10-20,2020-12-17,2 Months,#22e44f,Empty,,,
86-4693283,1610826,2437915,nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis,1500,INR,2020-04-29,2022-03-14,23 Months,#a4cb26,Empty,,,
36-2664342,1887006,1973040,leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu,650,INR,2022-04-21,2022-01-18,3 Months,#6025a1,Empty,,,
89-3623878,1570732,2094460,est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum,1500,INR,2021-05-14,2022-02-03,9 Months,#8172b0,Empty,,,
47-9007867,1617889,2153862,vestibulum velit id pretium iaculis diam erat fermentum justo nec,1500,INR,2021-02-11,2022-03-13,13 Months,#a4d9b5,Empty,,,
98-1024284,1318902,1125242,quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum,950,INR,2021-12-30,2019-04-13,33 Months,#ff9aa6,Empty,,,
56-3129189,1466716,1232991,sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel,650,INR,2023-09-10,2021-06-20,27 Months,#7cddc2,Empty,,,
94-8127092,1621669,1200385,eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis,650,INR,2020-12-14,2020-12-09,0 Months,#31365e,Empty,,,
57-8339091,1901818,2022864,turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere,650,INR,2021-11-15,2019-09-09,27 Months,#43da21,Empty,,,
65-8354555,1114473,2316532,ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et,350,INR,2023-05-27,2019-11-26,43 Months,#377beb,Empty,,,
56-1498245,1514853,1122150,convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus,950,INR,2021-11-27,2022-10-17,11 Months,#783ba9,Empty,,,
40-7888097,1645589,2424942,ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan,650,INR,2023-05-31,2019-10-12,44 Months,#f78d82,Empty,,,
85-8877885,1504772,2272158,vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis,950,INR,2020-12-12,2019-10-03,15 Months,#4bbb99,Empty,,,
67-1201410,1698579,42126,ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse,1500,INR,2020-12-26,2019-08-17,17 Months,#5695c5,Empty,,,
32-4653339,1754975,913460,nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat,950,INR,2022-04-05,2019-07-07,33 Months,#2aaeb7,Empty,,,
32-9908508,1222155,1056607,ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum,950,INR,2021-01-01,2020-09-29,3 Months,#fd56af,Empty,,,
58-8507047,1719636,651819,mauris enim leo rhoncus sed vestibulum sit amet cursus id,650,INR,2023-04-19,2019-12-11,41 Months,#04b0cc,Empty,,,
28-5960366,1323966,1856464,tortor duis mattis egestas metus aenean fermentum donec ut mauris,1500,INR,2021-06-02,2019-11-30,18 Months,#9e5016,Empty,,,
67-6213708,1683052,675763,blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel,350,INR,2023-04-30,2020-01-04,40 Months,#ccc2fc,Empty,,,
15-4025536,1405004,739560,sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in,950,INR,2022-03-29,2021-11-12,5 Months,#37d361,Empty,,,
16-6154475,1848791,1882031,diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis,650,INR,2023-08-01,2019-10-04,47 Months,#e87155,Empty,,,
16-7005956,1229152,1809960,justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in,650,INR,2020-08-17,2020-11-26,3 Months,#b59e19,Empty,,,
39-6865192,1206049,1783138,sapien non mi integer ac neque duis bibendum morbi non,950,INR,2023-05-15,2020-06-09,36 Months,#927022,Empty,,,
15-7204045,1651983,2253533,pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra,1500,INR,2021-02-07,2022-08-13,18 Months,#2d8300,Empty,,,
56-2698412,1357789,1389554,lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante,950,INR,2020-08-05,2021-06-25,11 Months,#4b7f11,Empty,,,
23-9447322,1506336,1066777,tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla,1500,INR,2023-02-01,2020-05-02,34 Months,#64c843,Empty,,,
76-5366987,1171493,924621,vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc,350,INR,2020-08-22,2021-08-12,12 Months,#9f8583,Empty,,,
79-4900193,1278346,88233,eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec,1500,INR,2022-07-09,2022-09-21,2 Months,#c57551,Empty,,,
14-4589525,1852036,746036,quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu,350,INR,2022-03-16,2021-10-04,5 Months,#4389d4,Empty,,,
70-6401123,1717438,2431565,luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus,350,INR,2022-12-10,2022-04-15,8 Months,#0d09d6,Empty,,,
48-6152851,1168894,849283,volutpat in congue etiam justo etiam pretium iaculis justo in hac,950,INR,2020-11-05,2021-06-20,8 Months,#ff292e,Empty,,,
60-5378395,1169906,177628,lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula,650,INR,2020-08-21,2019-04-28,16 Months,#7f9295,Empty,,,
99-8692003,1693022,1753262,morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id,1500,INR,2021-11-11,2019-06-23,29 Months,#11cae9,Empty,,,
89-5283164,1125378,2390667,a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis,950,INR,2021-03-21,2022-10-11,19 Months,#5c337a,Empty,,,
95-0446727,1355140,362556,suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien,350,INR,2022-10-23,2021-03-21,19 Months,#a46e11,Empty,,,
79-3124294,1156488,66969,a suscipit nulla elit ac nulla sed vel enim sit amet,950,INR,2021-04-26,2019-04-12,25 Months,#229d42,Empty,,,
70-4189423,1817517,685958,amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,1500,INR,2021-10-01,2020-05-26,16 Months,#177909,Empty,,,
26-8121951,1183266,493460,mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec,1500,INR,2023-05-31,2021-06-02,24 Months,#0a8697,Empty,,,
72-3652135,1834069,1103130,elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat,650,INR,2020-06-26,2022-10-24,28 Months,#38b737,Empty,,,
21-1953680,1501095,43679,nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus,1500,INR,2022-12-04,2019-04-28,44 Months,#4adcb4,Empty,,,
42-8469616,1577050,1039365,in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis,950,INR,2022-07-24,2019-04-17,40 Months,#80cefd,Empty,,,
85-2369820,1601894,2291872,vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere,1500,INR,2020-11-26,2020-04-18,7 Months,#14a3a0,Empty,,,
53-4224001,1376069,446256,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non,950,INR,2022-09-02,2022-01-17,8 Months,#42ebdc,Empty,,,
53-2455339,1450465,860606,lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat,950,INR,2022-05-19,2020-05-22,24 Months,#b0b815,Empty,,,
46-5875380,1565903,802486,libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac,350,INR,2023-05-24,2019-11-05,43 Months,#c13be6,Empty,,,
42-4673942,1124574,37300,morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer,650,INR,2020-07-24,2019-12-28,7 Months,#acb32c,Empty,,,
09-4302367,1432828,2374679,aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor,1500,INR,2022-11-14,2021-05-04,19 Months,#aca080,Empty,,,
75-9394397,1682758,1715735,rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel,350,INR,2022-04-29,2021-04-15,13 Months,#3a76e2,Empty,,,
00-6136953,1902944,1537687,et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros,350,INR,2021-02-09,2021-08-11,6 Months,#ecc6d5,Empty,,,
24-0906401,1774498,2425048,augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse,1500,INR,2022-01-27,2022-03-10,1 Months,#7fe138,Empty,,,
51-9832502,1411456,1233033,nisi eu orci mauris lacinia sapien quis libero nullam sit amet,950,INR,2020-05-29,2022-01-06,20 Months,#e7f632,Empty,,,
74-0625307,1387053,1706577,quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in,650,INR,2021-12-30,2019-08-10,29 Months,#3b8c85,Empty,,,
98-6112582,1563602,2298421,tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut,1500,INR,2023-04-04,2019-10-23,42 Months,#f8e1d1,Empty,,,
30-7631197,1901178,666162,non interdum in ante vestibulum ante ipsum primis in faucibus orci,350,INR,2020-06-04,2020-03-25,2 Months,#fa39af,Empty,,,
