PartnerId,CustomerId,AssetId,DeviceId,DeviceType,Platform,ContentType,PremiumContent
97-5419490,1693022,63-5143551,216.245.11.105/25,tv,sony liv,Documentary,NO
03-3884266,1125378,43-2373687,227.90.120.36/25,tv,sony liv,Drama,NO
31-6349544,1355140,47-4335907,62.15.130.120/13,mobile,hotstar,Documentary,YES
01-5084740,1156488,59-1712327,36.239.44.40/24,tv,sony liv,Drama|Musical,NO
22-6752497,1817517,24-0056650,229.61.255.169/4,mobile,sony liv,Action|Comedy|Musical,NO
53-6166027,1183266,42-5658550,197.80.81.215/10,laptop,sony liv,Drama|Romance,NO
36-7499787,1834069,72-7061266,173.167.94.234/30,laptop,sony liv,Crime|Drama|Thriller,NO
34-7686465,1501095,40-0298386,75.86.141.151/22,mobile,hotstar,Drama,YES
05-3863206,1577050,05-7305234,59.74.177.56/19,mobile,hotstar,Action|Adventure|Drama,YES
96-7581683,1601894,03-4170678,12.98.55.214/16,tv,sony liv,(no genres listed),NO
04-8190324,1376069,02-8530863,186.180.6.40/20,mobile,sony liv,Drama|Romance,NO
07-9719844,1450465,52-0700964,47.79.19.222/11,tv,sony liv,Action|Adventure|Sci-Fi|Western,NO
13-8650001,1565903,68-6450464,80.144.18.23/12,mobile,hotstar,Drama,YES
32-7943416,1124574,76-4585032,252.83.91.42/6,tv,hotstar,Drama,YES
74-5095150,1432828,85-3009806,159.24.252.188/19,mobile,sony liv,Drama,NO
01-3988072,1682758,26-8567997,61.239.132.139/14,mobile,hotstar,Comedy|Drama,YES
98-3393989,1902944,50-9396420,217.43.205.1/12,tab,hotstar,Documentary|Musical,YES
51-8392145,1774498,84-2560196,191.166.255.190/7,mobile,sony liv,Drama,NO
03-0447471,1411456,58-5430640,247.87.238.148/23,mobile,sony liv,Horror,NO
92-9063717,1387053,27-1296503,74.190.22.186/12,mobile,sony liv,Comedy,NO
56-9788063,1563602,19-9659623,205.19.194.244/14,tab,hotstar,Drama|Romance,YES
21-8079915,1901178,34-8458900,121.248.165.252/11,tab,hotstar,Drama|Romance,YES
46-9049610,1841686,73-2976265,228.132.1.222/9,tv,hotstar,Drama|Horror|Mystery|Thriller,YES
43-0905686,1403203,04-5464294,179.217.144.38/20,mobile,sony liv,Comedy,NO
12-1223950,1448565,92-3844390,251.229.226.153/28,tv,sony liv,Drama,NO
55-6343952,1538125,90-2318582,144.105.108.239/30,mobile,sony liv,Sci-Fi,NO
94-7842173,1115975,24-1899174,200.89.36.7/5,mobile,hotstar,Comedy|Romance,YES
93-7219352,1230615,23-2060331,206.172.213.39/25,laptop,sony liv,Crime|Mystery|Thriller,NO
65-3967450,1841503,86-8342797,114.193.174.136/16,tv,hotstar,Drama,YES
42-4037733,1321123,85-7404648,211.175.75.41/3,mobile,sony liv,Action|Sci-Fi,NO
56-8495658,1691733,20-8179502,220.57.68.34/11,tv,hotstar,Horror|Romance,YES
37-7847543,1680095,40-1025203,236.113.161.160/30,tv,hotstar,Drama,YES
48-4496198,1660328,30-5987640,39.14.67.63/1,tab,hotstar,Comedy|Musical,YES
46-7286638,1187072,65-1259228,221.61.112.123/4,mobile,sony liv,Documentary,NO
24-6407608,1460273,07-0817670,69.230.116.47/4,mobile,hotstar,Crime,YES
60-7665893,1138817,40-4750334,187.133.213.84/14,laptop,sony liv,Drama|Romance|War,NO
79-8664113,1628583,35-6392290,5.204.220.120/26,tv,hotstar,Horror|Thriller,YES
89-0533192,1734823,49-5426816,241.95.25.214/1,mobile,sony liv,Action|Sci-Fi|Thriller,NO
67-4264860,1280180,22-8678350,38.89.226.20/4,mobile,hotstar,Action|Thriller,YES
33-4334313,1279502,54-0132478,17.31.99.186/8,tv,hotstar,Drama,YES
82-6298215,1699886,13-0821362,141.116.142.245/14,tv,sony liv,Documentary|Drama|War,NO
67-7751842,1183811,38-5841719,121.30.53.83/20,tv,hotstar,Comedy|Crime|Horror,YES
46-9880387,1775311,34-1718793,20.231.149.38/8,mobile,hotstar,Horror|Sci-Fi,YES
01-4852234,1770037,34-2827697,156.176.62.80/10,tv,sony liv,Western,NO
34-1243109,1420832,58-4915328,60.105.29.73/9,tv,sony liv,Drama,NO
04-5227829,1388983,46-7364796,32.34.130.67/4,mobile,hotstar,Drama,YES
31-8554757,1827797,83-7600437,23.156.173.129/7,mobile,hotstar,Drama,YES
09-3643689,1758397,62-9604328,154.134.29.119/17,tv,hotstar,Crime|Drama|Horror|Thriller,YES
16-0257498,1126090,76-1768524,49.132.141.138/17,mobile,hotstar,Western,YES
36-4700263,1653715,76-4826782,127.205.141.10/9,tab,hotstar,Drama,YES
37-6107224,1534783,49-2655842,180.75.92.63/2,tv,hotstar,Drama|Romance|Thriller,YES
33-6470732,1705627,36-6562061,29.182.2.217/14,tv,hotstar,Comedy,YES
04-4415581,1156764,37-6003203,108.119.72.13/26,tv,sony liv,Action|Fantasy|Horror,NO
08-8586657,1351247,27-7366725,246.112.98.183/5,mobile,sony liv,Documentary,NO
24-3549077,1324848,15-4097502,152.213.64.225/28,tv,hotstar,Adventure|Children|Fantasy|Musical,YES
64-8108319,1706494,44-7043165,96.152.35.204/8,mobile,sony liv,Drama|Horror,NO
55-6578677,1325093,24-3192912,252.52.245.139/11,tv,sony liv,Comedy|Drama,NO
28-6405828,1168078,88-4175186,110.76.171.91/11,tv,sony liv,Crime|Drama|Thriller,NO
86-0309576,1625627,74-9414156,43.51.43.243/14,mobile,sony liv,Comedy,NO
93-4504004,1645519,07-9321314,223.7.107.56/24,tv,sony liv,Comedy|Musical,NO
38-0823299,1308726,90-9819750,209.141.22.202/3,laptop,hotstar,Action|Adventure|Crime|Drama|Mystery|Thriller,YES
99-9596151,1460398,93-0968712,181.66.54.25/24,mobile,hotstar,Documentary,YES
56-3437994,1802699,47-0248133,223.125.208.63/21,tv,sony liv,Comedy,NO
55-6781181,1693215,97-0372287,107.215.78.121/28,tv,hotstar,Drama|Romance|Thriller,YES
40-4016062,1493175,91-0804293,147.34.160.77/4,tab,hotstar,Drama|War,YES
45-5436278,1387043,12-2104187,203.88.212.176/25,tv,hotstar,Mystery,YES
74-1015976,1603493,88-3217058,51.102.151.142/3,tv,sony liv,Horror|Thriller,NO
50-3136108,1807486,88-3502376,186.166.138.242/3,tv,sony liv,Horror|Thriller,NO
18-4075520,1543290,80-4569996,180.174.55.139/19,tv,hotstar,Action|Crime,YES
70-5565550,1468750,52-3363830,188.77.110.154/11,tab,hotstar,Children|Mystery,YES
71-2152586,1849580,03-2665702,197.41.230.252/7,tv,sony liv,Action|Adventure|Comedy|Sci-Fi,NO
06-3298746,1855241,54-2188795,8.68.40.41/8,mobile,sony liv,Drama,NO
06-4593305,1709944,15-6985738,162.67.60.118/24,tab,sony liv,Comedy|Horror|Thriller,NO
71-0007762,1781381,14-2451056,226.47.54.160/16,tv,sony liv,Comedy|Fantasy,NO
06-9821511,1505411,82-6370789,212.88.36.252/8,mobile,sony liv,Documentary,NO
39-5862261,1662647,27-3582587,242.84.70.108/25,mobile,hotstar,Action|Adventure,YES
08-2652935,1277108,43-2359372,172.133.237.114/10,mobile,hotstar,Comedy,YES
98-5308854,1632379,66-4285689,61.52.153.76/17,tv,sony liv,Adventure|Sci-Fi|Thriller,NO
61-8079628,1232889,31-2404978,225.101.117.180/12,mobile,hotstar,Drama,YES
51-6517266,1729265,57-5626738,58.113.39.120/2,tv,hotstar,Comedy|Romance,YES
51-1034893,1266769,32-8918470,250.95.247.210/13,mobile,sony liv,Romance,NO
79-0760112,1457378,57-1426706,6.22.248.43/26,mobile,sony liv,Documentary,NO
64-3796450,1241829,84-0008742,194.81.250.240/20,mobile,sony liv,Drama|Thriller,NO
92-5560171,1586696,42-7608775,147.136.18.76/23,mobile,sony liv,Comedy|Drama,NO
31-5601602,1878718,67-2080295,147.41.34.24/19,tv,sony liv,Crime|Drama|Thriller,NO
20-6486688,1613024,28-0835784,242.107.3.112/21,tv,hotstar,Crime|Drama,YES
39-5348991,1781216,82-4323861,130.171.119.179/1,tv,sony liv,Drama|Thriller,NO
58-2888890,1529476,33-0560908,194.105.130.2/24,mobile,sony liv,Comedy,NO
20-2862654,1680133,37-3119217,39.184.208.141/5,mobile,sony liv,Adventure|Sci-Fi,NO
68-6069662,1671701,94-5161343,72.173.61.102/3,tv,sony liv,Drama|Mystery|Romance|Thriller,NO
76-1858853,1698484,58-2222198,149.37.8.38/10,mobile,sony liv,Action|Crime|Drama|Thriller,NO
50-8637104,1482932,94-9326556,5.225.95.77/25,tv,sony liv,Comedy,NO
33-8540132,1332984,95-1385313,47.227.12.247/21,tv,hotstar,Crime|Drama|Film-Noir,YES
56-7236952,1280672,42-0029327,24.196.57.58/27,mobile,hotstar,Comedy|Mystery,YES
55-2139712,1622064,25-1393046,168.226.174.160/12,tv,sony liv,Comedy|Drama|Romance,NO
97-7987514,1593121,78-3061633,106.204.90.217/22,mobile,sony liv,Comedy|Romance,NO
01-0393495,1128002,12-3746100,91.100.21.173/8,tab,sony liv,Comedy,NO
85-4585125,1761229,83-5636899,42.15.237.154/18,tv,hotstar,Documentary,YES
42-6053861,1564360,43-4388194,89.51.52.135/24,tv,sony liv,Drama,NO
63-2029837,1749949,04-7103253,98.190.78.34/20,mobile,sony liv,Comedy,NO
79-8518300,1468094,14-4017552,201.106.24.39/26,tv,sony liv,Drama|Horror|Mystery,NO
39-2024938,1857654,74-4250064,105.216.172.100/12,tab,sony liv,Action|Adventure|Animation|Children|Comedy,NO
89-6452052,1785759,23-1411272,2.198.177.67/7,tv,sony liv,Documentary,NO
64-4198996,1596358,98-4441429,231.141.180.19/12,mobile,sony liv,Action|Adventure|Comedy|Romance,NO
00-2474257,1515190,84-3164587,48.164.73.51/16,tv,sony liv,Mystery|Thriller,NO
17-2636772,1720597,07-6198165,34.84.49.97/10,tab,sony liv,Comedy,NO
05-8229346,1487170,13-1916395,56.233.148.67/5,tab,sony liv,Documentary|IMAX,NO
00-8842947,1570458,64-1931416,122.247.47.43/13,tab,hotstar,Comedy|Crime|Western,YES
13-6673067,1216325,58-0270530,91.212.238.125/23,mobile,hotstar,Animation|Children|Fantasy|Musical|Romance,YES
49-1763305,1810247,84-8719335,56.29.120.2/27,tv,sony liv,Comedy,NO
09-4575201,1303121,15-0981803,172.140.204.62/15,mobile,hotstar,Action|Comedy|Romance,YES
26-0123731,1755306,20-6873644,76.3.134.151/25,tv,hotstar,Drama,YES
31-9163169,1429938,67-7245194,47.69.182.243/23,mobile,sony liv,Action|Comedy|Crime|Romance,NO
04-0428319,1255291,43-1195373,204.224.146.113/6,mobile,hotstar,Drama,YES
83-7710757,1766084,61-9191250,6.134.20.130/29,tv,hotstar,Horror|Mystery|Sci-Fi|Thriller,YES
75-4651617,1598979,86-0202093,50.16.170.223/1,tv,hotstar,Drama|Romance,YES
12-0894556,1700009,30-3649342,183.249.146.214/23,tv,hotstar,Drama|War,YES
04-0869377,1591456,48-5194868,128.28.9.139/28,tv,sony liv,Action|Comedy|Crime|Romance,NO
94-0011837,1444099,58-1985567,248.73.99.238/9,tab,hotstar,Drama|Romance,YES
89-5337126,1627604,19-6405350,156.233.251.40/28,tv,hotstar,Drama|Fantasy,YES
50-9982200,1533746,59-5128123,237.37.195.222/12,mobile,sony liv,Adventure|Drama|Thriller,NO
66-7204755,1659113,82-9819413,200.192.68.99/15,tv,sony liv,Documentary,NO
33-3792654,1276035,74-3779111,136.250.185.217/2,tv,sony liv,Drama|Mystery|Romance,NO
33-6943445,1812017,16-4184915,68.242.253.33/7,tv,hotstar,Action,YES
90-5396445,1540012,38-8796793,32.215.98.166/19,mobile,hotstar,Comedy|Romance,YES
44-1680190,1582743,14-3802286,6.128.120.218/6,mobile,hotstar,Comedy|Drama,YES
91-9783599,1891614,64-4556998,13.247.68.248/13,tab,hotstar,Documentary|Musical,YES
28-0461896,1685016,10-0924252,77.0.186.85/25,tv,hotstar,Action|Adventure|Comedy|Crime|Drama|Film-Noir|Horror|Mystery|Thriller|Western,YES
40-9605431,1656238,08-9736301,83.91.134.9/22,tab,sony liv,Crime|Drama,NO
10-8619974,1444375,25-4714950,89.182.150.41/22,tv,sony liv,Drama,NO
58-0648685,1148952,19-0918944,153.123.35.168/27,tab,sony liv,Action,NO
77-2189271,1397248,71-9149955,236.117.134.164/13,tv,sony liv,Horror|Mystery|Thriller,NO
20-8602064,1513777,43-5949165,206.112.150.30/24,mobile,sony liv,Documentary|Drama|War,NO
94-5241920,1352424,98-8026318,169.194.129.32/17,tab,sony liv,Comedy,NO
40-2446140,1585697,76-7258757,236.148.181.105/13,mobile,hotstar,(no genres listed),YES
85-6546771,1552427,91-3031077,171.162.66.70/16,mobile,hotstar,Drama,YES
39-4812749,1194650,43-3835671,210.210.253.212/14,tv,sony liv,Documentary,NO
92-2208495,1516910,91-5683905,185.74.199.117/28,laptop,sony liv,Action|Sci-Fi,NO
47-8163773,1847834,47-5766262,87.191.64.199/4,tv,sony liv,Comedy,NO
13-9913858,1647128,11-8990088,229.129.128.161/25,tv,hotstar,Thriller,YES
68-5014899,1232944,09-1912888,143.237.181.106/24,mobile,sony liv,Crime|Thriller,NO
55-8967732,1310758,85-5649118,199.191.140.200/23,tv,sony liv,Drama|Romance,NO
26-4588862,1650945,92-6909887,215.190.168.75/14,tv,hotstar,Comedy|Musical|Western,YES
93-8778180,1193039,84-3825035,18.179.198.238/19,tv,sony liv,Crime|Mystery|Thriller,NO
41-0596080,1753115,94-3918978,184.78.176.37/4,tab,sony liv,Adventure|Children|Drama,NO
90-1314503,1799149,19-4345640,12.77.181.80/25,tv,sony liv,(no genres listed),NO
77-5452045,1152260,59-9032276,243.32.221.195/21,tv,sony liv,Comedy|Horror|Sci-Fi,NO
60-5379998,1522384,22-9436935,65.148.182.56/9,tv,sony liv,Action|Drama,NO
21-0348843,1826417,99-1808091,212.94.220.224/8,tab,hotstar,Fantasy|Sci-Fi,YES
22-8972164,1860196,51-4158201,85.127.169.62/11,tab,hotstar,Comedy|Musical|Romance,YES
57-2335265,1832835,14-5503146,196.208.144.151/13,tv,hotstar,Drama,YES
12-7345674,1268091,05-0130212,47.22.1.172/16,mobile,hotstar,Drama,YES
15-3159818,1755105,43-2895605,251.26.20.210/5,mobile,hotstar,Drama|Musical|Romance,YES
87-9669533,1769868,74-9807117,189.67.9.150/14,tv,sony liv,Comedy,NO
36-2109596,1243419,20-1211751,35.251.236.44/5,mobile,sony liv,Drama,NO
25-3306561,1131444,12-4652295,193.39.144.38/19,laptop,hotstar,Comedy|Horror|Sci-Fi,YES
71-1061791,1844436,72-2424343,153.127.60.7/7,mobile,hotstar,Documentary|Drama,YES
04-5575024,1856693,43-3920295,68.213.73.29/18,mobile,hotstar,Drama|Western,YES
65-4786322,1405233,45-4194069,252.127.240.51/19,tv,sony liv,Drama|Romance,NO
75-4355381,1442483,50-9114065,145.240.153.92/10,tv,hotstar,Comedy,YES
63-9020694,1761078,26-2803734,147.102.100.111/3,tv,sony liv,Comedy|Drama,NO
76-9693111,1838488,58-8954919,55.24.230.223/25,tv,sony liv,Comedy|Sci-Fi|Thriller,NO
81-1932783,1379318,31-7788426,60.65.7.105/1,tv,sony liv,Documentary|Musical,NO
30-7659685,1688183,91-4039571,110.157.138.243/31,tab,sony liv,Drama,NO
23-6566717,1340983,26-1315844,111.14.199.45/4,mobile,hotstar,Documentary|Drama,YES
30-9529232,1163798,20-6855087,158.141.63.180/19,tv,hotstar,Crime|Drama|Thriller,YES
07-6075232,1225433,10-2230888,243.155.229.34/10,tv,hotstar,Documentary|War,YES
06-1090915,1563134,26-4353308,232.38.56.238/4,laptop,hotstar,Drama|Horror|Musical,YES
43-3046673,1559877,16-1862723,131.234.60.11/1,tv,hotstar,Drama|Thriller,YES
83-2807272,1437216,75-7987787,210.28.230.174/28,tv,hotstar,Drama|War,YES
64-9542283,1347244,14-8311373,229.168.254.63/25,tv,hotstar,Action|Adventure|Children|Comedy,YES
05-1466682,1124063,86-8010269,94.225.91.82/22,mobile,sony liv,Drama,NO
72-0739502,1395426,22-1028156,9.207.98.147/12,mobile,sony liv,Action|Adventure,NO
10-4571533,1313483,88-7226311,115.67.217.132/30,tab,hotstar,Comedy,YES
