UserId,EventType,SessionStart,Timezone,Subscribed,Platform,PartnerId,ApplicationVersion,Location,Hardware,OperatingSystem,PremiumContentType,NetworkType,ConnectionSpeed,VideoType,PlayerName,PlayerVersion,ContentFormat,DRM,CDN,DeliveryProtocol,Playing_rate,StartingBitrate,Video_resolution,Start_position,End_position,DeviceId,Video_position,Duration
michael11,play,2021-01-10 07:25:42,Africa/Sao_Tome,FALSE,iOS,sonyliv,3.3,Bharatpur,iPhone,iOS,Yes,DSL,83.0437542,Documentary,,,DASH,PlayReady,Cloudfront,Akamai,,9.5,480p,00:56,01:28,930dk-G00e5-2Y2Ac-Tq8Vz,01:16,1213
milestammie,play,2021-07-30 07:23:43,Africa/Freetown,TRUE,FireTV,hotstar,3.8,Davanagere,FireTV,Android,Yes,DSL,24.80172207,Movie,,,DASH,Widevine,Cloudfront,Akamai,,9.6,2K,02:04,02:10,484hK-B38D1-2C6CW-Aj9Ds,02:06,122
kenneth12,skip,2021-05-11 20:14:25,Europe/Lisbon,FALSE,Android,hotstar,4.6,Karur,Android TV,Android,Yes,DSL,57.58950801,Documentary,,,DASH,PlayReady,Cloudfront,Akamai,,6.4,480p,01:21,01:27,592Uo-E41Y6-2W6bm-ZO7Io,01:27,331
ylove,pause,2021-09-03 07:48:00,America/Costa_Rica,TRUE,Android,sonyliv,4.6,Begusarai,Android TV,Android,Yes,DSL,99.15792259,Documentary,,,HLS,Widevine,Akamai,Akamai,,9.3,480p,00:51,01:00,068Rv-H62k1-2B1ri-Pn0Xz,00:58,428
doris58,skip,2021-05-19 15:37:02,Europe/Sofia,TRUE,Browser,hotstar,4.6,Danapur,PC/Laptop,MacOS,No,DSL,65.61409926,Documentary,,,DASH,Widevine,Cloudfront,Akamai,,7.5,2K,00:52,01:12,554Mt-S48G5-0N2AJ-Aj8BC,01:07,940
patricia07,skip,2021-07-10 09:08:59,Africa/Ouagadougou,FALSE,iOS,sonyliv,1,Palwal,iPhone,iOS,No,DSL,84.29309925,Series,,,DASH,Widevine,Cloudfront,Akamai,,6.8,4K,00:12,00:30,164Lu-z21V7-2c2eE-ST0Nv,00:15,151
matthewparsons,skip,2021-01-07 10:17:33,Asia/Amman,FALSE,Android,hotstar,2.5,Shimoga,Android TV,Android,No,Mobile,45.53893416,Series,,,HLS,PlayReady,Akamai,Akamai,,7.6,480p,00:08,00:22,800xL-K74S3-1h3LF-gV7EM,00:11,145
brittany95,skip,2021-01-02 19:30:06,Pacific/Efate,FALSE,Browser,sonyliv,4.1,Meerut,PC/Laptop,Linux/Unix,Yes,Mobile,54.42875312,Series,,,DASH,Widevine,Cloudfront,Cloudfront,,7.7,720p,00:33,00:47,786dM-J57g6-9e0mV-XI1Ak,00:46,755
emosley,skip,2021-06-24 17:33:13,Asia/Shanghai,FALSE,Android,sonyliv,4.8,Sasaram[28],Android Phone,Android,Yes,DSL,38.84624083,Series,,,HLS,PlayReady,Akamai,Akamai,,8.8,4K,00:43,00:44,794Hv-w75w0-7a3nQ-MU3ph,00:43,0
pjones,play,2021-06-06 18:07:49,America/Caracas,TRUE,FireTV,hotstar,2.4,Bidhannagar,FireTV,Android,Yes,Mobile,51.52636847,Movie,,,HLS,PlayReady,Akamai,Cloudfront,,9.3,480p,01:49,02:22,332Ir-r98K3-3T0vt-cY5Ii,02:19,1806
blackmary,play,2021-07-19 06:59:12,Europe/Rome,FALSE,iOS,sonyliv,1.3,Pimpri-Chinchwad,Apple TV,iOS,No,DSL,40.26347148,Movie,,,HLS,Widevine,Akamai,Cloudfront,,7.2,480p,00:40,03:14,624BX-F15R1-1U3wq-JW7SS,01:41,3670
owood,play,2021-10-06 09:59:29,Asia/Pyongyang,FALSE,Android,hotstar,5,Bikaner,Android Phone,Android,Yes,DSL,6.979746352,Series,,,HLS,Widevine,Cloudfront,Akamai,,7.4,480p,00:18,00:22,678JT-x26R4-3S7cG-pM4RY,00:21,208
kristinharding,skip,2021-03-20 21:57:35,Africa/Sao_Tome,TRUE,iOS,sonyliv,1.2,Ahmedabad,iPhone,iOS,No,DSL,99.65592372,Movie,,,DASH,PlayReady,Cloudfront,Akamai,,6.7,2K,02:20,02:46,455SV-b13Q2-9J7rS-EI8Tc,02:45,1527
petersontheresa,play,2021-04-04 02:55:42,Africa/Bamako,TRUE,Android,hotstar,1.5,Thanesar,Android Phone,Android,Yes,Mobile,87.52237683,Documentary,,,HLS,Widevine,Akamai,Akamai,,6.3,4K,00:15,01:13,273Pc-d83z7-3f1SV-gG6zs,00:36,1266
loganwyatt,play,2021-05-17 05:58:44,Europe/Budapest,FALSE,iOS,hotstar,6.8,Barasat,iPhone,iOS,No,Mobile,78.58108614,Series,,,DASH,PlayReady,Akamai,Akamai,,5.4,720p,00:20,00:28,831OE-N03W5-2o4ZS-UR0bF,00:25,290
coopermadison,skip,2021-01-09 16:33:10,Africa/Maputo,FALSE,Android,hotstar,1,Bongaigaon,Android Phone,Android,No,DSL,82.57062439,Series,,,HLS,Widevine,Cloudfront,Akamai,,5,480p,00:19,00:23,562Iu-W90I1-8X5WI-Tz9BK,00:23,198
andrewgentry,skip,2021-02-25 23:43:13,Asia/Vientiane,FALSE,FireTV,sonyliv,4.8,Miryalaguda,FireTV,Android,Yes,Mobile,58.47462768,Documentary,,,DASH,PlayReady,Cloudfront,Cloudfront,,8.8,480p,00:31,01:17,976Rz-D76Q9-8X0wV-Cw2Pc,00:42,690
castromichael,play,2021-01-16 00:51:59,Asia/Beirut,FALSE,Android,hotstar,4.7,Pallavaram,Android TV,Android,No,DSL,18.13636801,Series,,,HLS,PlayReady,Cloudfront,Cloudfront,,10,720p,00:21,00:49,264xq-W84j4-3j7Un-tS2rU,00:35,856
jordan68,stop,2021-01-27 12:19:08,Asia/Dubai,TRUE,iOS,sonyliv,2.3,Gandhinagar,Apple TV,iOS,Yes,Mobile,90.26729555,Movie,,,HLS,PlayReady,Akamai,Akamai,,8.9,480p,02:24,02:44,638yA-k98D5-5L4DM-Dh0Kr,02:36,704
martinezthomas,pause,2021-07-22 23:38:44,Africa/Lagos,FALSE,Android,hotstar,5.6,Berhampur,Android TV,Android,Yes,DSL,50.77110877,Documentary,,,HLS,Widevine,Cloudfront,Cloudfront,,6.6,720p,01:06,01:11,885bV-A21M7-7h3rk-iX3gO,01:11,316
petersonallison,skip,2021-05-30 05:41:47,Europe/Sofia,TRUE,Browser,hotstar,5.4,Siwan[29],PC/Laptop,MacOS,No,DSL,75.3890393,Series,,,DASH,PlayReady,Akamai,Cloudfront,,9,720p,00:30,00:34,459ng-C93W7-7l7Pm-PV0aL,00:30,20
klandry,play,2021-02-25 19:45:39,Pacific/Tongatapu,FALSE,FireTV,hotstar,3.9,Chhapra,FireTV,Android,Yes,Mobile,64.60890607,Movie,,,HLS,Widevine,Cloudfront,Akamai,,9.3,720p,01:21,01:57,855iy-c06y4-1Q0qG-pk6CO,01:30,529
stephanie94,pause,2021-08-22 20:32:59,Africa/Tunis,FALSE,Android,sonyliv,6.9,Tiruvottiyur,Android TV,Android,Yes,Mobile,89.55476274,Movie,,,HLS,Widevine,Cloudfront,Cloudfront,,6.8,480p,02:12,02:26,969sD-N86k4-5J2yY-Qn3yy,02:23,652
laura26,play,2021-01-28 12:44:03,Africa/Porto-Novo,FALSE,Browser,sonyliv,1.8,Kolhapur,PC/Laptop,Windows,Yes,DSL,49.71091128,Series,,,DASH,PlayReady,Akamai,Akamai,,6.3,480p,00:51,00:55,815mU-V79m1-3b0pk-Cu3tm,00:54,179
robinbridges,skip,2021-04-14 13:59:33,Africa/Gaborone,TRUE,FireTV,hotstar,4.3,Nashik,FireTV,Android,Yes,Mobile,76.40278046,Movie,,,DASH,Widevine,Akamai,Cloudfront,,7.9,720p,01:54,02:56,445co-y70z2-4v2jP-mN4vD,02:54,3617
georgejames,play,2021-09-22 04:31:10,Asia/Nicosia,FALSE,Browser,sonyliv,5.4,Abohar,PC/Laptop,Windows,Yes,DSL,28.37853995,Movie,,,DASH,PlayReady,Akamai,Cloudfront,,8.1,720p,02:14,02:58,025cD-q46t1-2T6OS-zq1Mi,02:45,1871
david95,skip,2021-05-15 16:56:56,Asia/Jerusalem,TRUE,FireTV,hotstar,5.4,Alappuzha,FireTV,Android,Yes,DSL,31.99422021,Documentary,,,HLS,Widevine,Cloudfront,Cloudfront,,5.4,1080p,00:04,01:27,982vJ-U58c8-9z4Qv-Sn5fO,01:01,3451
robert47,stop,2021-02-02 06:46:56,Africa/Nairobi,TRUE,FireTV,sonyliv,2.3,Raiganj,FireTV,Android,Yes,Mobile,90.74396411,Documentary,,,HLS,Widevine,Cloudfront,Cloudfront,,7.2,2K,01:05,01:06,810vQ-N55n8-2v9TI-vv9st,01:05,3
andrewpeterson,play,2021-09-12 02:37:38,Africa/Bissau,FALSE,Browser,sonyliv,1.1,Ambattur,PC/Laptop,MacOS,Yes,Mobile,16.58316082,Movie,,,DASH,PlayReady,Akamai,Cloudfront,,5.9,720p,01:23,02:41,876uS-D12k1-2T4td-uW7ut,02:07,2658
blackmary,skip,2021-08-05 21:52:54,Indian/Maldives,FALSE,Android,sonyliv,4.2,Warangal[12][13],Android Phone,Android,Yes,Mobile,55.14475106,Series,,,HLS,Widevine,Akamai,Akamai,,7,720p,00:17,00:33,338KQ-A02c5-7g0Bz-tc0dA,00:21,212
shawnmccullough,stop,2021-03-18 13:52:34,Africa/Libreville,TRUE,FireTV,sonyliv,4.8,Haridwar,FireTV,Android,No,DSL,17.05338881,Series,,,DASH,PlayReady,Cloudfront,Cloudfront,,6.4,1080p,00:13,00:59,670Lb-E72Y3-5O0Vc-ef7xj,00:23,571
jordan68,stop,2021-05-29 19:48:20,Africa/Algiers,TRUE,iOS,hotstar,4.4,Narasaraopet,iPhone,iOS,No,DSL,83.74959036,Series,,,DASH,PlayReady,Akamai,Cloudfront,,9.7,480p,00:13,00:45,905Kl-b98O9-9m1uP-rM0Pd,00:29,974
smurphy,stop,2021-08-27 19:49:20,Europe/Paris,FALSE,Browser,sonyliv,6.1,Gaya,PC/Laptop,Windows,No,DSL,59.1188506,Movie,,,DASH,PlayReady,Akamai,Akamai,,7.8,480p,01:21,02:01,740vC-f08I3-9B3EU-Fj6Rw,01:44,1367
kimmartin,play,2021-10-21 09:27:56,Pacific/Truk,TRUE,Browser,hotstar,2.2,Gorakhpur,PC/Laptop,Windows,Yes,Mobile,11.86449886,Documentary,,,DASH,PlayReady,Akamai,Cloudfront,,9.7,1080p,00:59,01:08,435ZD-n71C3-9O7OK-PT9XV,01:02,173
oleon,pause,2021-02-18 11:47:12,Asia/Jayapura,FALSE,Browser,hotstar,3.3,Jind,PC/Laptop,MacOS,Yes,DSL,55.63378458,Documentary,,,DASH,Widevine,Cloudfront,Cloudfront,,7.6,2K,00:28,01:07,217Yz-T49j4-7c8hk-OY0hy,00:32,194
alexis32,stop,2021-08-12 15:20:56,Asia/Saigon,TRUE,iOS,sonyliv,1.3,Hazaribagh,Apple TV,iOS,Yes,DSL,53.89227408,Series,,,DASH,Widevine,Cloudfront,Cloudfront,,7.6,480p,00:11,00:56,330WG-H11C7-8H8bR-UU5Gl,00:42,1879
kennethgriffin,pause,2021-03-20 03:52:16,Asia/Vientiane,TRUE,iOS,hotstar,5.8,Chittoor[24],Apple TV,iOS,No,DSL,60.0484593,Documentary,,,HLS,PlayReady,Akamai,Akamai,,8.1,720p,01:03,01:12,708CZ-f57A7-3g4LP-NX7Ga,01:04,47
sloantracy,pause,2021-01-07 02:11:02,Asia/Saigon,FALSE,FireTV,hotstar,6.3,Burhanpur,FireTV,Android,No,DSL,69.91706517,Documentary,,,HLS,Widevine,Akamai,Akamai,,6.8,720p,00:53,01:07,737vB-J00E6-7v9os-be9qY,01:02,531
jessica41,play,2021-05-01 16:02:45,Europe/Bucharest,TRUE,iOS,sonyliv,1.8,Sambhal,Apple TV,iOS,No,Mobile,20.6802837,Series,,,HLS,Widevine,Cloudfront,Cloudfront,,7.5,1080p,00:01,00:42,881WJ-f60o9-3Y0gC-zc4xd,00:07,371
james21,pause,2021-06-23 23:02:42,Asia/Qyzylorda,TRUE,iOS,sonyliv,5.6,Gaya,iPhone,iOS,No,Mobile,11.44978016,Movie,,,DASH,Widevine,Akamai,Akamai,,7.7,480p,00:31,03:12,472Zu-v84x7-9H1ue-wO3rl,00:51,1181
hjackson,pause,2021-02-05 09:26:42,Asia/Rangoon,TRUE,Browser,hotstar,4.7,Mira-Bhayandar,PC/Laptop,Linux/Unix,No,Mobile,90.53549672,Documentary,,,HLS,Widevine,Cloudfront,Akamai,,5.7,720p,00:05,01:26,061AF-J92l3-7h5Uo-qu2eT,01:22,4590
gburke,stop,2021-03-21 07:41:58,Africa/Monrovia,TRUE,iOS,sonyliv,1.6,Bokaro,Apple TV,iOS,Yes,DSL,23.67105286,Documentary,,,HLS,Widevine,Akamai,Akamai,,7.4,1080p,00:06,01:13,698hL-I91H0-2J8Qr-aC8Jk,00:54,2883
brent19,play,2021-02-05 08:47:47,Pacific/Fiji,FALSE,Android,sonyliv,6.6,Dimapur,Android TV,Android,No,DSL,12.53788139,Series,,,HLS,PlayReady,Akamai,Akamai,,8.2,1080p,00:03,00:57,495my-E20A1-0v0no-WF9Zr,00:15,761
kcisneros,stop,2021-07-10 21:09:07,America/Port_of_Spain,TRUE,Android,sonyliv,4.1,Saharsa[26],Android Phone,Android,No,Mobile,97.99170506,Documentary,,,DASH,Widevine,Cloudfront,Cloudfront,,6.7,480p,00:07,01:01,941GE-v95B5-7M4cD-Mj4wZ,00:34,1617
adamjohnson,pause,2021-10-20 15:02:30,Asia/Rangoon,FALSE,iOS,sonyliv,3.1,Jamnagar,iPhone,iOS,No,DSL,32.66622155,Documentary,,,DASH,PlayReady,Cloudfront,Akamai,,5.8,720p,00:31,01:13,881pQ-S98d4-4H7nM-YY2zb,01:01,1784
gillkathleen,pause,2021-04-08 19:48:07,Asia/Tokyo,FALSE,Browser,hotstar,1.4,Latur,PC/Laptop,Linux/Unix,Yes,DSL,5.242811253,Documentary,,,HLS,Widevine,Akamai,Akamai,,8.7,720p,00:51,01:10,288fi-v20u1-4I8Vj-ob7KI,01:07,992
jacksonanthony,play,2021-04-12 16:15:23,Africa/Conakry,FALSE,iOS,sonyliv,2.3,Mirzapur,iPad,iOS,Yes,Mobile,45.36826169,Movie,,,DASH,PlayReady,Akamai,Akamai,,8.7,480p,01:52,02:42,613Ar-N86l3-0i7rU-iL0dS,02:14,1334
millersamantha,stop,2021-03-11 00:23:30,Africa/Blantyre,TRUE,FireTV,sonyliv,1.2,Sambhal,FireTV,Android,Yes,DSL,62.05461654,Series,,,DASH,Widevine,Cloudfront,Cloudfront,,7,480p,00:32,00:55,319Bh-l80O8-8X4dH-mV0AL,00:46,821
xmoore,stop,2021-05-18 00:17:55,America/Panama,TRUE,Android,sonyliv,3.1,Shahjahanpur,Android Phone,Android,Yes,Mobile,68.09123238,Documentary,,,HLS,PlayReady,Akamai,Akamai,,9,720p,00:10,01:18,373GL-q68E0-5I4MX-oQ3iY,00:18,475
gonzalezjonathan,play,2021-07-30 11:40:33,America/St_Vincent,TRUE,iOS,hotstar,2.9,Nizamabad,iPhone,iOS,Yes,Mobile,95.87379693,Documentary,,,HLS,Widevine,Cloudfront,Akamai,,8.8,4K,01:03,01:24,537hx-P22u7-0P2En-Ym9mC,01:12,555
johnstonjacqueline,skip,2021-03-10 08:57:56,Europe/Berlin,FALSE,Browser,hotstar,5,Shivpuri,PC/Laptop,MacOS,No,DSL,91.12511054,Documentary,,,HLS,PlayReady,Cloudfront,Cloudfront,,6.3,4K,00:31,01:07,236zo-U21S6-7Z8eF-Om1gx,00:46,911
aheath,pause,2021-01-31 17:38:01,Asia/Yerevan,FALSE,Browser,sonyliv,4.3,Tadipatri,PC/Laptop,Windows,No,DSL,64.91469048,Documentary,,,HLS,PlayReady,Akamai,Akamai,,8.1,1080p,00:23,01:24,419Ci-Q57k1-2H6ZN-lB5NS,00:52,1783
gregorycassandra,skip,2021-01-28 04:00:37,America/Argentina/Ushuaia,TRUE,FireTV,sonyliv,5.1,Salem,FireTV,Android,Yes,Mobile,18.49853007,Documentary,,,DASH,Widevine,Akamai,Cloudfront,,8.4,480p,00:05,01:05,664yx-I95S9-4O8Wg-PL8QN,00:23,1113
david15,play,2021-09-05 01:28:50,Asia/Jerusalem,TRUE,iOS,sonyliv,4,Kadapa[18],iPhone,iOS,No,Mobile,35.18154791,Movie,,,HLS,PlayReady,Cloudfront,Cloudfront,,6.3,4K,00:27,01:53,781DT-R53F6-9y8Jq-au0sp,01:26,3583
davidcantu,play,2021-07-06 01:52:55,Asia/Tehran,TRUE,iOS,hotstar,4.4,Purnia[21],iPad,iOS,No,DSL,5.232751062,Series,,,DASH,PlayReady,Akamai,Cloudfront,,5.3,480p,00:20,00:27,263Ax-o71L4-5J9Ib-Im6Ha,00:24,274
robert59,play,2021-10-29 04:32:21,Africa/Lubumbashi,FALSE,FireTV,hotstar,2.7,Sambalpur,FireTV,Android,No,Mobile,58.11747603,Series,,,HLS,Widevine,Cloudfront,Akamai,,9.4,480p,00:21,00:27,168Jy-L29u7-9l2wg-sD5Za,00:21,19
martinezthomas,stop,2021-08-30 01:29:23,Africa/Lubumbashi,FALSE,FireTV,hotstar,2.4,Guwahati,FireTV,Android,Yes,DSL,28.64512547,Documentary,,,HLS,Widevine,Akamai,Cloudfront,,9.6,720p,01:03,01:09,125iL-w36p4-5a9Gt-HG7dX,01:08,304
kevin92,skip,2021-08-25 11:34:48,Asia/Dushanbe,TRUE,Android,hotstar,1.3,Tirunelveli,Android TV,Android,Yes,Mobile,7.599987332,Documentary,,,HLS,PlayReady,Cloudfront,Akamai,,5.3,1080p,00:32,01:14,693LS-G94t0-9V9io-Hs7kn,01:00,1671
hcannon,stop,2021-06-09 20:34:54,America/Montevideo,FALSE,FireTV,hotstar,3,Bhiwani,FireTV,Android,Yes,DSL,18.70757601,Series,,,HLS,Widevine,Akamai,Akamai,,9.4,480p,00:11,00:34,881hc-g20w4-2w7AN-Ii5jJ,00:12,66
ujames,pause,2021-10-14 17:06:54,Asia/Muscat,FALSE,FireTV,sonyliv,6.1,Hajipur[27],FireTV,Android,Yes,DSL,69.59112328,Movie,,,DASH,Widevine,Akamai,Cloudfront,,8.2,480p,00:56,02:41,441xq-Z68p9-1a2Wu-DE6eo,02:30,5668
smathis,play,2021-05-13 15:37:50,Australia/Lord_Howe,FALSE,Browser,sonyliv,6,Dhule,PC/Laptop,MacOS,No,DSL,39.84550631,Documentary,,,DASH,PlayReady,Akamai,Cloudfront,,7.7,720p,00:14,01:03,413kL-h01d6-1V0EO-sq7vZ,00:30,965
shawn06,pause,2021-03-04 21:11:39,America/Barbados,TRUE,Android,hotstar,1.7,Vasco Da Gama,Android Phone,Android,No,Mobile,71.22282534,Movie,,,DASH,Widevine,Cloudfront,Cloudfront,,9,480p,01:58,02:08,360nH-W19w8-5T0QY-FV1Bp,02:05,432
salazartammy,skip,2021-05-31 05:10:55,Asia/Kuwait,TRUE,iOS,sonyliv,6.9,Jalna,iPad,iOS,No,DSL,21.45360656,Documentary,,,DASH,PlayReady,Cloudfront,Akamai,,6.9,480p,00:04,01:26,337pR-j61X7-6F1kN-oz1wN,00:21,1017
sara59,play,2021-06-14 00:34:44,America/El_Salvador,TRUE,FireTV,hotstar,1.3,Kollam,FireTV,Android,No,Mobile,32.82304272,Series,,,DASH,PlayReady,Cloudfront,Cloudfront,,6,720p,00:32,00:52,296Ss-C48T0-4V9pb-JL8IT,00:36,227
jmeyer,play,2021-02-03 02:29:07,Africa/Nouakchott,FALSE,iOS,sonyliv,4.1,Malegaon,iPad,iOS,Yes,Mobile,36.27056274,Movie,,,DASH,Widevine,Cloudfront,Cloudfront,,8.9,480p,02:12,02:47,368Io-x39e9-6S6AQ-Pe5YC,02:22,589
jeffery61,play,2021-03-25 22:35:21,Asia/Dili,FALSE,Android,hotstar,3.8,Jabalpur,Android Phone,Android,No,DSL,63.76143721,Movie,,,DASH,PlayReady,Cloudfront,Akamai,,7,480p,01:38,01:50,031Re-N78o8-8Q9Kk-PU3se,01:44,326
wbrown,skip,2021-09-19 14:03:51,Africa/Dar_es_Salaam,FALSE,Browser,hotstar,5.7,Nagercoil,PC/Laptop,MacOS,Yes,Mobile,58.02056687,Series,,,HLS,Widevine,Cloudfront,Akamai,,5.3,480p,00:25,00:35,900GK-q58F7-8A3ds-vS5SW,00:29,221
vegaricky,play,2021-06-27 01:17:00,Indian/Antananarivo,FALSE,FireTV,hotstar,6.3,Satna,FireTV,Android,Yes,DSL,20.44060101,Movie,,,HLS,PlayReady,Akamai,Cloudfront,,6.7,480p,01:56,02:58,904ft-j10F0-8Y6jI-nq0Jf,02:23,1635
joshuadalton,skip,2021-10-22 23:07:28,Europe/Ljubljana,TRUE,Android,hotstar,6.7,Dharmavaram,Android Phone,Android,No,DSL,4.947667174,Series,,,DASH,Widevine,Cloudfront,Akamai,,5.8,480p,00:39,00:55,281DU-F55w5-9T8Ar-pn3Dq,00:41,139
owenkristi,skip,2021-10-20 01:22:10,Asia/Ulaanbaatar,FALSE,FireTV,hotstar,1.5,Durgapur,FireTV,Android,Yes,DSL,1.269186191,Movie,,,HLS,Widevine,Cloudfront,Cloudfront,,7.6,480p,02:04,02:37,814vG-a53D6-5W4Oo-pZ1IY,02:06,116
ghines,play,2021-07-26 05:44:20,Europe/Zagreb,TRUE,FireTV,hotstar,3.9,Mira-Bhayandar,FireTV,Android,Yes,Mobile,31.02891994,Series,,,HLS,Widevine,Akamai,Akamai,,9.4,2K,00:27,00:47,898YV-Q79p3-5B7Qu-Lr4qE,00:29,148
rhondaking,pause,2021-06-15 20:11:42,Europe/Rome,FALSE,iOS,sonyliv,2.7,Adoni,Apple TV,iOS,No,DSL,75.18853224,Series,,,HLS,PlayReady,Akamai,Akamai,,9.4,480p,00:03,00:42,954EW-S78t7-6v7Ic-yx9lS,00:31,1667
julie59,skip,2021-01-10 06:28:25,Africa/Kinshasa,FALSE,FireTV,hotstar,4.3,Durg,FireTV,Android,No,Mobile,69.61636563,Movie,,,DASH,PlayReady,Akamai,Akamai,,8.7,4K,00:29,02:24,321Om-p35O1-7V6Nv-sI7Vf,01:18,2930
zacharypatel,play,2021-09-02 02:19:50,Africa/Algiers,TRUE,Android,hotstar,6.6,Varanasi,Android Phone,Android,No,DSL,87.97296462,Movie,,,DASH,PlayReady,Cloudfront,Akamai,,6.3,720p,01:28,03:10,822JO-Z20J6-1O0Gu-BY2pF,03:01,5581
irichards,play,2021-01-12 13:39:37,Africa/Djibouti,TRUE,Android,hotstar,5.9,Ahmedabad,Android TV,Android,No,DSL,61.70060746,Movie,,,DASH,Widevine,Cloudfront,Akamai,,5.6,720p,01:11,02:56,325PQ-q92D6-1a4rF-Fq9FI,02:19,4045
cblanchard,pause,2021-06-11 18:23:37,America/Paramaribo,FALSE,Android,hotstar,3.1,Bhimavaram,Android Phone,Android,No,DSL,66.83890466,Series,,,HLS,Widevine,Akamai,Akamai,,7.9,480p,00:52,00:58,435ZD-n71C3-9O7OK-PT9XV,00:56,269
cjames,skip,2021-05-26 08:14:18,America/Santo_Domingo,TRUE,FireTV,sonyliv,5,Nangloi Jat,FireTV,Android,No,DSL,7.092826322,Movie,,,HLS,Widevine,Akamai,Akamai,,9.8,720p,00:47,02:44,797qD-C22B0-0V1Fc-Vt0cO,02:41,6835
steven50,pause,2021-09-22 11:01:16,Europe/Minsk,FALSE,FireTV,sonyliv,6.7,Nagpur,FireTV,Android,No,Mobile,5.448822696,Movie,,,HLS,Widevine,Cloudfront,Akamai,,8.8,4K,01:52,02:11,467to-W81r1-8p6bM-tJ0Ly,02:10,1127
